Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,SessionDuration,TotalPagesViewed,High_Revenue,Engage_2
8,103.0,0,0.0,19,2081.5,0.0,0.01,24.54706296,0,11,2,2,3,2,0,1,1,2184.5,27,1,1
0,0.0,0,0.0,9,415.8333333,0.0,0.0125,0.0,0,3,3,2,9,2,0,0,0,415.8333333,9,0,1
0,0.0,0,0.0,6,317.5,0.0,0.04,0.0,0,5,1,1,3,4,0,1,0,317.5,6,0,1
0,0.0,1,12.0,22,1668.95,0.0,0.00952381,12.18867006,0,12,2,2,1,2,0,1,1,1680.95,23,1,1
0,0.0,0,0.0,5,177.6666667,0.0,0.04,0.0,0,5,1,1,1,4,0,0,0,177.6666667,5,0,1
8,204.1071429,0,0.0,15,347.7321429,0.0,0.012280702,18.08071442,0,11,1,1,1,2,0,0,0,551.8392858,23,1,1
9,576.6208333,0,0.0,57,1878.195833,0.003472222,0.010446429,5.002669777,0,11,2,2,4,8,0,0,1,2454.8166663,66,1,1
2,33.75,0,0.0,6,96.0,0.0,0.025,0.0,0,12,2,2,4,2,0,0,0,129.75,8,0,1
1,106.8,0,0.0,17,327.5380952,0.0,0.00625,0.0,0,10,3,2,3,2,0,0,0,434.3380952,18,0,1
1,118.8,0,0.0,8,259.2,0.0,0.007407407,0.0,0,9,2,2,4,2,0,0,0,378.0,9,0,1
3,86.75,2,51.0,11,145.6666667,0.007692308,0.023076923,0.0,0,12,1,1,1,2,0,0,0,283.4166667,16,0,1
1,14.0,0,0.0,5,92.33333333,0.0,0.016666667,0.0,0,12,2,4,1,1,0,0,0,106.33333333,6,0,1
6,176.6,2,204.4,45,789.3666667,0.0,0.004255319,0.0,0,6,2,5,7,2,0,0,0,1170.3666667,53,0,1
4,71.2,0,0.0,6,178.8,0.0,0.014814815,0.0,0,8,1,1,1,5,0,0,0,250.0,10,0,1
0,0.0,0,0.0,29,488.4090909,0.014285714,0.02173913,0.0,0,11,1,8,1,11,0,0,1,488.4090909,29,0,1
0,0.0,0,0.0,8,721.4166667,0.0,0.00952381,0.0,0,11,2,5,3,8,0,1,0,721.4166667,8,0,1
9,381.8666667,1,33.0,38,1190.616667,0.004444444,0.011333333,2.967493333,0,5,2,2,1,2,0,0,0,1605.4833337,48,1,1
4,56.0,0,0.0,10,709.0,0.0,0.016666667,0.0,0,3,2,2,1,2,0,0,0,765.0,14,0,1
2,126.0,0,0.0,2,14.35,0.0,0.05,0.0,0,8,3,2,6,5,0,1,0,140.35,4,0,1
0,0.0,0,0.0,10,455.0,0.0,0.022222222,25.7526389,0,12,1,1,2,2,0,0,1,455.0,10,1,1
0,0.0,3,101.0,7,208.5,0.0,0.025,0.0,0,5,2,2,1,5,0,0,0,309.5,10,0,1
3,78.6,0,0.0,2,18.2,0.0,0.02,0.0,0,7,3,2,3,2,0,1,1,96.8,5,0,1
0,0.0,0,0.0,17,840.2333333,0.0,0.001666667,109.176,0,3,2,2,9,2,0,0,1,840.2333333,17,1,1
0,0.0,1,44.0,41,1089.75,0.0,0.005853659,0.0,0,3,2,2,3,2,0,0,0,1133.75,42,0,1
0,0.0,0,0.0,17,935.25,0.0,0.009803922,0.0,0,11,2,2,1,2,0,0,0,935.25,17,0,1
1,21.0,0,0.0,16,375.9166667,0.0,0.007142857,0.0,0,12,1,1,1,2,0,0,0,396.9166667,17,0,1
2,28.0,0,0.0,9,163.375,0.0,0.018181818,0.0,0,12,1,2,3,2,0,0,0,191.375,11,0,1
6,145.0,0,0.0,13,644.0,0.0,0.013333333,0.0,0,3,2,2,1,2,0,0,0,789.0,19,0,1
0,0.0,0,0.0,24,488.3333333,0.0,0.004347826,72.30208696,0,5,2,2,1,4,0,0,1,488.3333333,24,1,1
4,312.75,0,0.0,14,702.9166667,0.0,0.014259259,0.0,0,3,3,2,1,2,0,0,0,1015.6666667,18,0,1
8,1592.916667,2,146.6666667,14,1722.583333,0.0,0.031578947,0.0,0,11,4,1,3,8,0,0,1,3462.1666667,24,0,1
3,29.25,0,0.0,32,1729.75,0.0,0.005714286,16.7293697,0,12,2,4,3,2,0,0,1,1759.0,35,1,1
2,28.0,0,0.0,7,115.6666667,0.0,0.02,0.0,1,5,1,1,1,5,0,1,0,143.6666667,9,0,1
0,0.0,0,0.0,7,138.8733333,0.0,0.0,179.307293,0,11,2,2,4,2,0,1,1,138.8733333,7,1,1
3,152.0,1,64.4,9,358.4,0.0,0.015384615,0.0,0,10,2,2,1,2,0,1,0,574.8,13,0,1
7,199.8333333,0,0.0,27,669.9333333,0.0,0.0,0.0,0,8,2,5,1,2,0,1,0,869.7666666,34,0,1
1,58.0,0,0.0,33,647.625,0.0,0.00625,0.0,0,12,3,2,3,2,0,0,0,705.625,34,0,1
1,70.5,0,0.0,12,541.5357143,0.0,0.008333333,115.7819471,0,11,2,5,3,2,0,1,1,612.0357143,13,1,1
