Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,SessionDuration,TotalPagesViewed,High_Revenue
8,732.25,0,0.0,34,1345.755952,0.005128205,0.013341952,12.27419487,0,5,3,3,3,2,1,0,0,2078.005952,42,1
2,338.0,0,0.0,17,1205.566667,0.0125,0.0375,19.23625,0,5,3,2,2,2,1,0,1,1543.566667,19,1
0,0.0,0,0.0,32,827.6462121,0.0,0.00058651,54.67634844,0,3,2,2,7,2,1,0,1,827.6462121,32,1
5,140.8,4,254.75,61,1740.052778,0.007179487,0.023796204,14.62413644,0,11,2,2,2,2,1,1,0,2135.602778,70,1
8,103.0,0,0.0,19,2081.5,0.0,0.01,24.54706296,0,11,2,2,3,2,0,1,1,2184.5,27,1
0,0.0,0,0.0,63,5220.083333,0.0,0.003329865,51.46331148,0,3,2,5,3,1,1,1,1,5220.083333,63,1
0,0.0,1,12.0,22,1668.95,0.0,0.00952381,12.18867006,0,12,2,2,1,2,0,1,1,1680.95,23,1
3,23.0,0,0.0,19,723.4833333,0.003508772,0.022807018,17.68865669,0,7,2,2,2,2,1,0,0,746.4833333,22,1
2,11.5,0,0.0,12,1562.0,0.023,0.042941176,33.1128,0,5,2,2,1,1,1,0,0,1573.5,14,1
8,204.1071429,0,0.0,15,347.7321429,0.0,0.012280702,18.08071442,0,11,1,1,1,2,0,0,0,551.8392858,23,1
2,7.0,0,0.0,15,533.11,0.011111111,0.05,4.307627247,0,11,2,2,1,3,1,0,0,540.11,17,1
9,576.6208333,0,0.0,57,1878.195833,0.003472222,0.010446429,5.002669777,0,11,2,2,4,8,0,0,1,2454.8166663,66,1
5,91.5,0,0.0,106,2980.889179,0.001851852,0.010139398,1.912422222,0,5,4,2,3,6,1,0,0,3072.389179,111,1
2,17.0,0,0.0,20,1415.625,0.012698413,0.044761905,32.578313,0,3,3,3,1,10,1,0,0,1432.625,22,1
12,1276.264286,0,0.0,118,3215.173074,0.0,0.005446194,22.45841786,0,11,3,2,8,3,1,0,1,4491.43736,130,1
3,258.0,2,34.625,25,1364.8125,0.029761905,0.035714286,3.18693501,0,12,1,1,3,10,1,1,0,1657.4375,30,1
2,109.8,0,0.0,55,1988.931429,0.007272727,0.005330144,5.79089525,0,7,1,1,1,2,1,0,0,2098.731429,57,1
10,197.1666667,0,0.0,35,1078.727778,0.0,0.010452962,39.75577236,0,5,2,2,3,3,1,0,0,1275.8944447,45,1
9,381.8666667,1,33.0,38,1190.616667,0.004444444,0.011333333,2.967493333,0,5,2,2,1,2,0,0,0,1605.4833337,48,1
2,57.0,0,0.0,12,497.0,0.0,0.047619048,10.62514286,0,5,2,2,1,6,1,0,0,554.0,14,1
0,0.0,0,0.0,10,455.0,0.0,0.022222222,25.7526389,0,12,1,1,2,2,0,0,1,455.0,10,1
2,48.83333333,6,370.875,22,526.0281385,0.032142857,0.032738095,22.93531071,0,5,1,1,1,2,1,0,0,945.73647183,30,1
8,147.0,0,0.0,23,627.0,0.006896552,0.011264368,25.19297315,0,12,1,1,8,2,1,0,0,774.0,31,1
0,0.0,0,0.0,17,840.2333333,0.0,0.001666667,109.176,0,3,2,2,9,2,0,0,1,840.2333333,17,1
2,992.7142857,5,809.5,28,1793.214286,0.005714286,0.016428571,9.69917706,0,11,2,2,1,10,1,0,1,3595.4285717,35,1
0,0.0,0,0.0,24,488.3333333,0.0,0.004347826,72.30208696,0,5,2,2,1,4,0,0,1,488.3333333,24,1
2,77.0,0,0.0,32,1223.416667,0.0,0.010784314,215.0094118,0,5,3,2,4,2,1,0,1,1300.416667,34,1
1,23.0,2,272.5,30,974.2698413,0.006451613,0.007885305,11.47812903,0,5,2,2,4,1,1,1,1,1269.7698413,33,1
1,40.0,5,279.5,62,1088.830952,0.000980392,0.007230392,11.48461765,0,3,3,2,1,9,1,1,1,1408.330952,68,1
3,29.25,0,0.0,32,1729.75,0.0,0.005714286,16.7293697,0,12,2,4,3,2,0,0,1,1759.0,35,1
7,78.3,5,120.0,87,1363.263492,0.004301075,0.008090118,30.80927957,0,5,2,2,3,2,1,0,1,1561.563492,99,1
8,183.0833333,1,40.5,349,6879.801826,0.000568182,0.004306345,1.625051033,0,11,4,2,9,10,1,0,0,7103.3851593,358,1
0,0.0,0,0.0,7,138.8733333,0.0,0.0,179.307293,0,11,2,2,4,2,0,1,1,138.8733333,7,1
7,147.7907692,2,236.0,28,1246.124103,0.006666667,0.021453423,11.284275,0,5,3,2,1,3,1,1,0,1629.9148722,37,1
15,937.1746032,3,357.0,109,6682.677557,0.000833333,0.005345441,2.526616865,0,3,1,2,3,2,1,0,0,7976.8521602,127,1
5,243.0,3,106.0,22,1654.722222,0.028571429,0.028214286,31.178125,0,5,4,2,1,1,1,0,0,2003.722222,30,1
2,38.0,0,0.0,14,643.0,0.0,0.013333333,35.0928,0,3,2,2,5,1,1,0,1,681.0,16,1
3,66.5,3,65.75,152,3684.321458,0.005194805,0.010451453,12.64606692,0,11,2,2,1,2,1,0,1,3816.571458,158,1
5,262.1212121,1,0.0,117,7468.860173,0.012900188,0.020948132,3.014025584,0,11,3,2,1,2,1,0,0,7730.9813851,123,1
5,134.3333333,0,0.0,56,959.8117424,0.0,0.011420635,11.61864445,0,11,2,2,1,1,1,1,0,1094.1450757,61,1
1,70.5,0,0.0,12,541.5357143,0.0,0.008333333,115.7819471,0,11,2,5,3,2,0,1,1,612.0357143,13,1
3,135.5,0,0.0,37,1238.375,0.005405405,0.030510511,7.941531532,0,5,2,2,1,2,1,0,0,1373.875,40,1
6,257.5,0,0.0,37,2533.333333,0.014634146,0.031707317,6.651334683,0,11,2,2,3,1,1,0,1,2790.833333,43,1
5,205.5,1,8.0,37,1683.633333,0.0,0.017261905,4.744206349,0,5,3,2,8,2,1,1,0,1897.133333,43,1
3,54.8,1,28.2,24,203.0677778,0.0,0.008,44.35972562,0,6,2,2,1,4,1,0,1,286.0677778,28,1
15,317.0189394,3,126.75,238,9956.225533,0.0052,0.016955684,6.556237434,0,11,2,4,3,1,1,1,1,10399.994472400002,256,1
9,115.4,0,0.0,29,1514.703333,0.005,0.011342593,4.702065533,0,7,3,2,8,1,1,1,0,1630.103333,38,1
1,9.0,0,0.0,12,764.75,0.0,0.023076923,9.641076923,0,5,2,2,8,2,0,0,1,773.75,13,1
3,46.9,0,0.0,26,561.4,0.0,0.007142857,53.88782441,0,11,2,5,1,5,0,0,1,608.3,29,1
4,207.0,0,0.0,31,1592.233333,0.0,0.011574074,57.06546413,0,12,2,2,4,1,1,0,0,1799.233333,35,1
15,677.1911765,0,0.0,152,3561.130212,0.0,0.008686559,5.731607803,0,12,2,2,6,1,1,0,1,4238.3213885000005,167,1
0,0.0,0,0.0,71,1094.310476,0.0,0.009285714,4.718931118,0,10,4,1,2,2,1,0,0,1094.310476,71,1
9,81.0,0,0.0,34,1219.113725,0.007017544,0.022556391,9.517421053,0,3,3,2,3,1,1,0,1,1300.113725,43,1
0,0.0,0,0.0,17,601.0333333,0.062745098,0.092156863,18.87145759,0,8,3,2,3,1,1,0,1,601.0333333,17,1
3,33.2,0,0.0,10,278.4333333,0.007142857,0.026190476,32.70034468,0,7,2,2,6,1,1,0,1,311.6333333,13,1
4,116.0,1,8.0,59,1828.774603,0.003874092,0.023361582,26.93792373,0,5,2,2,7,6,1,0,0,1952.774603,64,1
9,354.2916667,0,0.0,79,4409.3,0.007228916,0.011546722,12.07905093,0,11,3,2,2,3,1,0,1,4763.5916667,88,1
3,89.6,0,0.0,57,1721.906667,0.0,0.005932203,204.0079491,0,11,2,2,1,4,1,1,1,1811.506667,60,1
9,189.1098485,3,39.0,73,3059.013889,0.012345679,0.024897119,16.74209908,0,11,2,2,3,2,1,1,1,3287.1237375,85,1
14,603.9,2,52.4,46,1760.657143,0.01010929,0.0254213,2.006032937,0,9,1,1,6,4,1,1,0,2416.957143,62,1
0,0.0,0,0.0,38,907.943254,0.0,0.005405405,23.6645871,0,12,2,2,1,2,1,0,1,907.943254,38,1
0,0.0,0,0.0,12,309.3666667,0.014285714,0.019047619,14.37785831,0,9,3,2,1,6,0,0,1,309.3666667,12,1
4,94.25,3,79.5,77,3719.643711,0.002469136,0.010684624,14.96948769,0,11,3,2,3,3,1,0,1,3893.393711,84,1
