Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,VisitorType,Weekend,Revenue,SessionDuration,TotalPagesViewed
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,1,False,0,0.0,1
0,0.0,0,0.0,2,64.0,0.0,0.1,0.0,0.0,1,False,0,64.0,2
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,1,False,0,0.0,1
0,0.0,0,0.0,2,2.666666667,0.05,0.14,0.0,0.0,1,False,0,2.666666667,2
0,0.0,0,0.0,19,154.2166667,0.015789474,0.024561404,0.0,0.0,1,False,0,154.2166667,19
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.4,1,False,0,0.0,1
1,0.0,0,0.0,0,0.0,0.2,0.2,0.0,0.0,1,True,0,0.0,1
0,0.0,0,0.0,2,37.0,0.0,0.1,0.0,0.8,1,False,0,37.0,2
0,0.0,0,0.0,3,395.0,0.0,0.066666667,0.0,0.0,1,False,0,395.0,3
0,0.0,0,0.0,7,280.5,0.0,0.028571429,0.0,0.0,1,False,0,280.5,7
0,0.0,0,0.0,6,98.0,0.0,0.066666667,0.0,0.0,1,False,0,98.0,6
0,0.0,0,0.0,2,68.0,0.0,0.1,0.0,0.0,1,False,0,68.0,2
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,1,False,0,0.0,1
0,0.0,0,0.0,13,334.9666667,0.0,0.007692308,0.0,0.0,1,True,0,334.9666667,13
0,0.0,0,0.0,2,32.0,0.0,0.1,0.0,0.0,1,False,0,32.0,2
0,0.0,0,0.0,8,136.1666667,0.0,0.008333333,0.0,1.0,1,True,0,136.1666667,8
0,0.0,0,0.0,2,0.0,0.2,0.2,0.0,0.0,1,False,0,0.0,2
0,0.0,0,0.0,3,105.0,0.0,0.033333333,0.0,0.0,1,False,0,105.0,3
0,0.0,0,0.0,2,15.0,0.0,0.1,0.0,0.8,1,False,0,15.0,2
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,1,True,0,0.0,1
0,0.0,0,0.0,5,156.0,0.0,0.04,0.0,0.0,1,False,0,156.0,5
0,0.0,0,0.0,4,76.0,0.05,0.1,0.0,0.0,1,False,0,76.0,4
0,0.0,0,0.0,4,63.0,0.0,0.05,0.0,0.2,1,False,0,63.0,4
0,0.0,0,0.0,2,35.0,0.0,0.1,0.0,0.0,1,False,0,35.0,2
0,0.0,0,0.0,3,78.0,0.0,0.066666667,0.0,0.0,1,True,0,78.0,3
0,0.0,0,0.0,8,209.5,0.0,0.025,0.0,0.0,1,False,0,209.5,8
0,0.0,0,0.0,10,183.6666667,0.04,0.08,0.0,0.0,1,False,0,183.6666667,10
