Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,Weekend,VisitorType_New_Visitor,VisitorType_Other,VisitorType_Returning_Visitor,SessionDuration,TotalPagesViewed,Revenue
8,732.25,0,0.0,34,1345.755952,0.005128205,0.013341952,12.27419487,0,5,3,3,3,2,0,0,0,1,2078.005952,42,0
0,0.0,0,0.0,4,157.2,0.04,0.1,0.0,0,10,1,8,3,1,1,0,0,1,157.2,4,0
0,0.0,0,0.0,4,42.0,0.0,0.05,0.0,0,12,2,10,1,2,0,0,0,1,42.0,4,0
2,338.0,0,0.0,17,1205.566667,0.0125,0.0375,19.23625,0,5,3,2,2,2,0,0,0,1,1543.566667,19,1
0,0.0,0,0.0,32,827.6462121,0.0,0.00058651,54.67634844,0,3,2,2,7,2,0,0,0,1,827.6462121,32,1
5,140.8,4,254.75,61,1740.052778,0.007179487,0.023796204,14.62413644,0,11,2,2,2,2,1,0,0,1,2135.602778,70,0
8,103.0,0,0.0,19,2081.5,0.0,0.01,24.54706296,0,11,2,2,3,2,1,1,0,0,2184.5,27,1
0,0.0,0,0.0,9,415.8333333,0.0,0.0125,0.0,0,3,3,2,9,2,0,1,0,0,415.8333333,9,0
0,0.0,0,0.0,6,317.5,0.0,0.04,0.0,0,5,1,1,3,4,1,1,0,0,317.5,6,0
0,0.0,0,0.0,63,5220.083333,0.0,0.003329865,51.46331148,0,3,2,5,3,1,1,0,0,1,5220.083333,63,1
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0,5,1,1,6,1,0,0,0,1,0.0,1,0
0,0.0,1,12.0,22,1668.95,0.0,0.00952381,12.18867006,0,12,2,2,1,2,1,1,0,0,1680.95,23,1
0,0.0,0,0.0,5,177.6666667,0.0,0.04,0.0,0,5,1,1,1,4,0,1,0,0,177.6666667,5,0
8,308.5859649,0,0.0,67,1784.755219,0.000352113,0.001928521,0.384720286,0,9,3,2,1,2,0,0,0,1,2093.3411839,75,0
3,23.0,0,0.0,19,723.4833333,0.003508772,0.022807018,17.68865669,0,7,2,2,2,2,0,0,0,1,746.4833333,22,0
8,167.45,1,168.2,33,755.8769841,0.026315789,0.041315789,0.0,0,10,2,2,3,3,0,0,0,1,1091.5269841,42,0
2,11.5,0,0.0,12,1562.0,0.023,0.042941176,33.1128,0,5,2,2,1,1,0,0,0,1,1573.5,14,0
0,0.0,0,0.0,8,85.5,0.075,0.1,0.0,0,5,2,2,1,1,0,0,0,1,85.5,8,0
0,0.0,0,0.0,2,30.0,0.0,0.1,0.0,0,3,3,2,4,1,0,0,0,1,30.0,2,0
8,204.1071429,0,0.0,15,347.7321429,0.0,0.012280702,18.08071442,0,11,1,1,1,2,0,1,0,0,551.8392858,23,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0,3,1,1,4,1,0,0,0,1,0.0,1,0
2,7.0,0,0.0,15,533.11,0.011111111,0.05,4.307627247,0,11,2,2,1,3,0,0,0,1,540.11,17,0
10,198.2430556,3,276.25,151,4344.919986,0.002531646,0.01196589,0.0,0,12,4,2,4,2,0,0,0,1,4819.4130416,164,0
9,576.6208333,0,0.0,57,1878.195833,0.003472222,0.010446429,5.002669777,0,11,2,2,4,8,0,1,0,0,2454.8166663,66,1
3,117.0,0,0.0,98,3653.641667,0.002680653,0.0296601,0.0,0,11,2,5,9,2,0,0,0,1,3770.641667,101,0
1,0.0,0,0.0,18,224.5,0.0375,0.0625,0.0,0,5,3,2,4,4,1,0,0,1,224.5,19,0
2,33.75,0,0.0,6,96.0,0.0,0.025,0.0,0,12,2,2,4,2,0,1,0,0,129.75,8,0
6,107.3666667,0,0.0,11,151.3,0.005555556,0.04,0.0,0,11,2,2,1,3,0,0,0,1,258.6666667,17,0
3,47.0,0,0.0,22,486.5,0.0,0.030666667,0.0,0,5,3,2,3,11,0,0,0,1,533.5,25,0
1,106.8,0,0.0,17,327.5380952,0.0,0.00625,0.0,0,10,3,2,3,2,0,1,0,0,434.3380952,18,0
1,118.8,0,0.0,8,259.2,0.0,0.007407407,0.0,0,9,2,2,4,2,0,1,0,0,378.0,9,0
0,0.0,0,0.0,6,56.0,0.0,0.033333333,0.0,0,5,2,2,1,13,0,0,0,1,56.0,6,0
0,0.0,0,0.0,4,112.5,0.0,0.05,0.0,0,5,3,2,1,6,0,0,0,1,112.5,4,0
0,0.0,0,0.0,3,24.0,0.066666667,0.133333333,0.0,0,3,3,2,3,1,1,0,0,1,24.0,3,0
4,221.0,0,0.0,15,338.8571429,0.0,0.030769231,0.0,0,5,2,2,6,2,0,0,0,1,559.8571429,19,0
0,0.0,0,0.0,56,3543.809524,0.004464286,0.021785714,0.0,0,11,2,7,5,1,1,0,0,1,3543.809524,56,0
5,91.5,0,0.0,106,2980.889179,0.001851852,0.010139398,1.912422222,0,5,4,2,3,6,0,0,0,1,3072.389179,111,0
3,86.75,2,51.0,11,145.6666667,0.007692308,0.023076923,0.0,0,12,1,1,1,2,0,1,0,0,283.4166667,16,0
2,126.0,0,0.0,6,127.1666667,0.05,0.04375,0.0,0,12,3,2,5,3,1,0,0,1,253.1666667,8,0
0,0.0,0,0.0,26,364.6666667,0.065384615,0.086538462,0.0,0,5,2,2,3,13,0,0,0,1,364.6666667,26,0
0,0.0,0,0.0,4,0.0,0.2,0.2,0.0,0,11,3,2,1,3,0,0,0,1,0.0,4,0
1,14.0,0,0.0,5,92.33333333,0.0,0.016666667,0.0,0,12,2,4,1,1,0,1,0,0,106.33333333,6,0
1,55.4,0,0.0,9,949.6,0.0,0.046666667,0.0,0,10,1,8,5,11,0,0,0,1,1005.0,10,0
1,4.0,0,0.0,37,1296.942857,0.013888889,0.039814815,0.0,0,5,2,2,4,2,0,0,0,1,1300.942857,38,0
6,176.6,2,204.4,45,789.3666667,0.0,0.004255319,0.0,0,6,2,5,7,2,0,1,0,0,1170.3666667,53,0
0,0.0,0,0.0,23,1544.595238,0.058550725,0.092944664,0.0,0,11,3,2,8,13,1,0,0,1,1544.595238,23,0
2,17.0,0,0.0,20,1415.625,0.012698413,0.044761905,32.578313,0,3,3,3,1,10,0,0,0,1,1432.625,22,0
1,40.5,0,0.0,7,170.0,0.0,0.016666667,0.0,0,12,2,4,1,2,0,0,0,1,210.5,8,0
1,7.0,0,0.0,50,2330.727381,0.023809524,0.031399417,0.0,0,11,3,2,3,3,0,0,0,1,2337.727381,51,0
4,71.2,0,0.0,6,178.8,0.0,0.014814815,0.0,0,8,1,1,1,5,0,1,0,0,250.0,10,0
0,0.0,0,0.0,29,488.4090909,0.014285714,0.02173913,0.0,0,11,1,8,1,11,0,1,0,0,488.4090909,29,1
2,45.0,0,0.0,8,71.0,0.022222222,0.044444444,0.0,0,5,2,2,1,13,0,0,0,1,116.0,10,0
5,123.0,1,12.25,26,934.15,0.014814815,0.034567901,0.0,0,12,1,1,3,3,0,0,0,1,1069.4,32,0
1,49.0,0,0.0,112,2237.603885,0.003933137,0.019128308,0.0,0,12,1,1,4,2,0,0,0,1,2286.603885,113,0
4,44.0,0,0.0,90,6951.972222,0.002150538,0.015013034,0.0,0,2,4,1,1,3,0,0,0,1,6995.972222,94,0
0,0.0,0,0.0,27,1838.15,0.053205128,0.056282051,0.0,0,6,3,2,2,3,0,0,0,1,1838.15,27,0
12,1276.264286,0,0.0,118,3215.173074,0.0,0.005446194,22.45841786,0,11,3,2,8,3,0,0,0,1,4491.43736,130,1
6,93.125,0,0.0,29,424.125,0.0,0.020689655,0.0,0,12,1,8,1,1,0,0,0,1,517.25,35,0
7,135.2,5,430.3333333,68,3974.534501,0.013513514,0.019008442,0.0,0,11,3,2,1,13,1,0,0,1,4540.0678343,80,0
9,252.667619,1,0.0,67,1060.693791,0.022685185,0.029967788,0.131837013,0,10,3,2,1,13,0,0,0,1,1313.36141,77,1
0,0.0,0,0.0,13,334.75,0.0,0.030769231,0.0,0,11,2,2,1,2,0,0,0,1,334.75,13,0
1,0.0,0,0.0,7,82.2,0.057142857,0.114285714,0.0,0,6,3,2,2,4,0,0,0,1,82.2,8,0
3,258.0,2,34.625,25,1364.8125,0.029761905,0.035714286,3.18693501,0,12,1,1,3,10,1,0,0,1,1657.4375,30,0
2,17.0,0,0.0,6,35.2,0.025,0.075,0.0,0,8,2,2,7,1,0,0,0,1,52.2,8,0
3,58.5,0,0.0,17,281.6666667,0.007058824,0.017647059,0.0,0,2,1,1,3,4,0,0,0,1,340.1666667,20,0
0,0.0,0,0.0,20,379.4166667,0.002857143,0.0295,0.0,1,5,3,2,1,2,1,0,0,1,379.4166667,20,0
5,116.0,0,0.0,31,1350.258333,0.012903226,0.023870968,0.0,0,12,3,2,8,2,0,0,0,1,1466.258333,36,0
2,48.0,0,0.0,51,1671.375,0.001098901,0.016433566,0.0,0,3,2,2,1,6,1,0,0,1,1719.375,53,0
1,73.75,0,0.0,45,2674.339216,0.000869565,0.020139353,0.0,0,11,1,1,8,1,0,0,0,1,2748.089216,46,0
2,53.85,0,0.0,2,161.2,0.0,0.0,0.0,0,8,2,4,3,1,0,0,0,1,215.05,4,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0,11,3,2,7,13,0,0,0,1,0.0,1,0
7,131.8333333,0,0.0,63,2074.611111,0.010793651,0.02000962,0.0,0,12,3,2,3,10,0,0,0,1,2206.4444443,70,0
0,0.0,0,0.0,8,166.1666667,0.0,0.025,0.0,0,5,2,2,3,4,0,0,0,1,166.1666667,8,0
2,109.8,0,0.0,55,1988.931429,0.007272727,0.005330144,5.79089525,0,7,1,1,1,2,0,0,0,1,2098.731429,57,0
0,0.0,0,0.0,8,721.4166667,0.0,0.00952381,0.0,0,11,2,5,3,8,1,1,0,0,721.4166667,8,0
0,0.0,0,0.0,10,99.0,0.04,0.046666667,0.0,0,5,3,2,1,3,0,0,0,1,99.0,10,0
0,0.0,0,0.0,4,123.0,0.0,0.066666667,0.0,0,5,3,2,4,3,0,0,0,1,123.0,4,0
0,0.0,0,0.0,18,588.5,0.051851852,0.08962963,0.0,0,12,3,2,4,1,0,0,0,1,588.5,18,0
10,197.1666667,0,0.0,35,1078.727778,0.0,0.010452962,39.75577236,0,5,2,2,3,3,0,0,0,1,1275.8944447,45,0
0,0.0,0,0.0,38,3287.0,0.036842105,0.075814536,0.0,0,6,2,5,1,1,0,0,0,1,3287.0,38,0
9,381.8666667,1,33.0,38,1190.616667,0.004444444,0.011333333,2.967493333,0,5,2,2,1,2,0,1,0,0,1605.4833337,48,0
0,0.0,0,0.0,6,78.75,0.033333333,0.066666667,0.0,0,11,2,2,9,3,0,0,0,1,78.75,6,0
0,0.0,0,0.0,7,242.75,0.014285714,0.047619048,0.0,0,11,3,2,3,11,1,0,0,1,242.75,7,0
0,0.0,0,0.0,2,11.0,0.0,0.1,0.0,0,11,3,2,1,10,0,0,0,1,11.0,2,0
4,56.0,0,0.0,10,709.0,0.0,0.016666667,0.0,0,3,2,2,1,2,0,1,0,0,765.0,14,0
2,57.0,0,0.0,12,497.0,0.0,0.047619048,10.62514286,0,5,2,2,1,6,0,0,0,1,554.0,14,0
0,0.0,0,0.0,62,3564.590227,0.021980198,0.052175571,0.0,0,8,3,2,4,2,0,0,0,1,3564.590227,62,0
2,10.3,0,0.0,142,4204.433333,0.009722222,0.021345899,0.770991864,0,7,2,2,4,13,0,0,0,1,4214.733333,144,0
0,0.0,0,0.0,2,9.0,0.0,0.1,0.0,0,12,2,2,1,3,0,0,0,1,9.0,2,0
0,0.0,0,0.0,9,640.6666667,0.0,0.011111111,0.0,0,3,3,2,7,1,1,0,0,1,640.6666667,9,0
0,0.0,0,0.0,4,107.0,0.0,0.05,0.0,0,5,3,2,3,13,0,0,0,1,107.0,4,0
0,0.0,0,0.0,12,687.4833333,0.0,0.0375,0.0,0,11,1,1,1,2,0,0,0,1,687.4833333,12,0
2,126.0,0,0.0,2,14.35,0.0,0.05,0.0,0,8,3,2,6,5,1,1,0,0,140.35,4,0
4,61.0,0,0.0,14,175.6666667,0.0,0.010588235,0.0,0,3,2,2,5,2,0,0,0,1,236.6666667,18,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0,3,1,1,1,9,1,0,0,1,0.0,1,0
5,241.35,0,0.0,5,244.7,0.011111111,0.033333333,0.0,0,11,2,2,4,1,1,0,0,1,486.05,10,0
0,0.0,0,0.0,10,455.0,0.0,0.022222222,25.7526389,0,12,1,1,2,2,0,1,0,0,455.0,10,1
2,48.83333333,6,370.875,22,526.0281385,0.032142857,0.032738095,22.93531071,0,5,1,1,1,2,0,0,0,1,945.73647183,30,0
1,41.5,0,0.0,12,237.5,0.015384615,0.046153846,0.0,0,12,1,8,2,1,0,0,0,1,279.0,13,0
0,0.0,3,101.0,7,208.5,0.0,0.025,0.0,0,5,2,2,1,5,0,1,0,0,309.5,10,0
7,64.75,1,17.0,100,2463.244841,0.001886792,0.014944594,0.0,0,5,2,2,1,4,0,0,0,1,2544.994841,108,0
10,85.04,0,0.0,114,2139.156647,0.0,0.009414895,0.0,0,11,2,2,3,2,0,0,0,1,2224.196647,124,0
0,0.0,0,0.0,12,1145.416667,0.009090909,0.048484848,0.0,0,11,3,2,8,10,1,0,0,1,1145.416667,12,0
1,90.0,0,0.0,37,592.8375,0.009817814,0.051919272,0.0,0,11,2,2,1,11,0,0,0,1,682.8375,38,0
0,0.0,0,0.0,90,601.7901961,0.002222222,0.012763533,0.0,0,5,2,2,3,1,0,0,0,1,601.7901961,90,0
2,675.3333333,0,0.0,46,1103.916667,0.0,0.004081633,0.0,0,5,2,4,4,4,0,0,0,1,1779.2500003,48,0
13,315.9666667,1,0.0,15,406.575,0.019047619,0.032380952,0.0,0,3,3,2,3,2,0,0,0,1,722.5416667,29,0
3,118.0,0,0.0,2,96.25,0.0,0.025,0.0,0,12,8,13,9,20,0,0,1,0,214.25,5,0
3,78.6,0,0.0,2,18.2,0.0,0.02,0.0,0,7,3,2,3,2,1,1,0,0,96.8,5,1
8,147.0,0,0.0,23,627.0,0.006896552,0.011264368,25.19297315,0,12,1,1,8,2,0,0,0,1,774.0,31,0
0,0.0,0,0.0,17,840.2333333,0.0,0.001666667,109.176,0,3,2,2,9,2,0,1,0,0,840.2333333,17,1
3,60.83333333,0,0.0,18,884.6333333,0.021052632,0.041140351,0.0,0,3,2,2,3,10,0,0,0,1,945.46666663,21,0
10,1455.35,0,0.0,66,1646.612195,0.007142857,0.029065112,0.0,0,11,2,2,1,2,1,0,0,1,3101.962195,76,0
1,19.0,0,0.0,29,605.6722222,0.003448276,0.025517241,0.0,0,5,3,2,3,6,0,0,0,1,624.6722222,30,0
3,49.33333333,2,346.1666667,9,194.3333333,0.0,0.002857143,0.0,0,5,2,2,1,2,0,0,0,1,589.83333333,14,0
2,150.6,0,0.0,86,2554.562381,0.023255814,0.041100372,0.0,0,9,2,2,1,1,0,0,0,1,2705.162381,88,0
0,0.0,1,44.0,41,1089.75,0.0,0.005853659,0.0,0,3,2,2,3,2,0,1,0,0,1133.75,42,0
0,0.0,0,0.0,16,385.5,0.0,0.0125,0.0,0,12,2,2,4,1,0,0,0,1,385.5,16,0
0,0.0,0,0.0,39,1779.886905,0.01025641,0.028972694,0.0,0,12,1,1,4,2,1,0,0,1,1779.886905,39,0
0,0.0,0,0.0,13,365.75,0.0,0.030769231,0.0,1,5,3,2,3,4,1,0,0,1,365.75,13,0
0,0.0,0,0.0,17,935.25,0.0,0.009803922,0.0,0,11,2,2,1,2,0,1,0,0,935.25,17,0
0,0.0,0,0.0,93,4261.842857,0.002930403,0.021080839,0.0,0,3,3,3,8,1,0,0,0,1,4261.842857,93,0
8,115.2,1,11.0,18,436.6,0.008695652,0.008695652,0.0,0,11,2,2,7,2,0,0,0,1,562.8000000000001,27,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0,3,2,2,7,10,0,0,0,1,0.0,1,0
0,0.0,0,0.0,5,218.0,0.0,0.04,0.0,0,3,2,2,1,2,0,0,0,1,218.0,5,0
1,21.0,0,0.0,16,375.9166667,0.0,0.007142857,0.0,0,12,1,1,1,2,0,1,0,0,396.9166667,17,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0,12,3,2,2,10,0,0,1,0,0.0,1,0
1,2.0,0,0.0,5,86.6,0.0,0.1,0.0,0,9,3,2,3,2,0,0,0,1,88.6,6,0
